sep=;
Vertices;Edges;Delta;CPUs;Seq_Time;Par_Time;Speedup;Efficiency
12000;1;0,5;2;0,0165;0,5675;0,0291;0,0145
12000;1;0,5;4;0,0161;0,5462;0,0295;0,0074
12000;1;0,5;8;0,0201;0,7002;0,0287;0,0036
12000;1;0,5;16;0,0215;0,979;0,022;0,0014
12000;1;0,5;32;0,0184;1,5571;0,0118;0,0004
12000;1;1,0;2;0,0269;0,5319;0,0506;0,0253
12000;1;1,0;4;0,0202;0,5462;0,037;0,0092
12000;1;1,0;8;0,0199;0,6409;0,0311;0,0039
12000;1;1,0;16;0,0179;0,902;0,0198;0,0012
12000;1;1,0;32;0,0202;1,5461;0,0131;0,0004
12000;1;2,0;2;0,0231;0,5318;0,0434;0,0217
12000;1;2,0;4;0,022;0,5474;0,0402;0,01
12000;1;2,0;8;0,0196;0,6337;0,0309;0,0039
12000;1;2,0;16;0,0223;0,9028;0,0247;0,0015
12000;1;2,0;32;0,0247;1,5631;0,0158;0,0005
12000;1;5,0;2;0,0222;0,5294;0,0419;0,021
12000;1;5,0;4;0,0226;0,547;0,0413;0,0103
12000;1;5,0;8;0,0218;0,6326;0,0345;0,0043
12000;1;5,0;16;0,018;0,9012;0,02;0,0012
12000;1;5,0;32;0,0242;1,4932;0,0162;0,0005
12000;1;10,0;2;0,0245;0,5334;0,0459;0,023
12000;1;10,0;4;0,0181;0,5448;0,0332;0,0083
12000;1;10,0;8;0,0195;0,6328;0,0308;0,0039
12000;1;10,0;16;0,0237;0,9009;0,0263;0,0016
12000;1;10,0;32;0,0235;1,5189;0,0155;0,0005
12000;5;0,5;2;0,1008;0,69;0,1461;0,073
12000;5;0,5;4;0,1008;0,7033;0,1433;0,0358
12000;5;0,5;8;0,1006;0,8083;0,1245;0,0156
12000;5;0,5;16;0,1041;1,0962;0,095;0,0059
12000;5;0,5;32;0,1098;1,8334;0,0599;0,0019
12000;5;1,0;2;0,1;0,6421;0,1557;0,0779
12000;5;1,0;4;0,1014;0,6585;0,154;0,0385
12000;5;1,0;8;0,1042;0,7494;0,139;0,0174
12000;5;1,0;16;0,1016;1,0395;0,0977;0,0061
12000;5;1,0;32;0,1106;1,7732;0,0624;0,0019
12000;5;2,0;2;0,1018;0,6225;0,1635;0,0818
12000;5;2,0;4;0,1047;0,629;0,1665;0,0416
12000;5;2,0;8;0,1065;0,7224;0,1474;0,0184
12000;5;2,0;16;0,1104;1,0084;0,1095;0,0068
12000;5;2,0;32;0,1094;1,7144;0,0638;0,002
